"Station","Date","Air min","Air max","Degree-days","Accumulated DD","*","*"
OJAI.C,07/21/2016,13.3,29.4,9.35,1010.50,"1","1"
OJAI.C,07/22/2016,13.3,31.7,10.50,1021.00,"1","1"
OJAI.C,07/23/2016,12.8,31.7,10.25,1031.25,"1","1"
OJAI.C,07/24/2016,15.6,28.3,9.95,1041.20,"1","1"
OJAI.C,07/25/2016,17.8,28.3,11.05,1052.25,"1","1"
OJAI.C,07/26/2016,17.2,28.9,11.05,1063.30,"1","1"
OJAI.C,07/27/2016,13.3,32.2,10.75,1074.05,"A","A"
OJAI.C,07/28/2016,15.6,27.8,9.70,1083.75,"1","1"
OJAI.C,07/29/2016,15.6,27.8,9.70,1093.45,"1","1"
OJAI.C,07/30/2016,13.3,31.7,10.50,1103.95,"A","A"
OJAI.C,07/31/2016,18.3,26.7,10.50,1114.45,"1","1"
OJAI.C,08/01/2016,16.7,25.6,9.15,1123.60,"1","1"
OJAI.C,08/02/2016,16.1,25.6,8.85,1132.45,"1","1"
OJAI.C,08/03/2016,15.6,26.1,8.85,1141.30,"1","1"
OJAI.C,08/04/2016,15.6,25.0,8.30,1149.60,"1","1"
OJAI.C,08/05/2016,13.3,25.0,7.15,1156.75,"1","1"
OJAI.C,08/06/2016,14.4,24.4,7.40,1164.15,"1","1"
OJAI.C,08/07/2016,13.3,32.2,10.75,1174.90,"A","A"
OJAI.C,08/08/2016,13.3,25.0,7.15,1182.05,"1","1"
OJAI.C,08/09/2016,15.6,24.4,8.00,1190.05,"1","1"
OJAI.C,08/10/2016,14.4,25.0,7.70,1197.75,"1","1"
OJAI.C,08/11/2016,14.4,25.6,8.00,1205.75,"1","1"
OJAI.C,08/12/2016,16.7,25.0,8.85,1214.60,"1","1"
OJAI.C,08/13/2016,15.0,26.1,8.55,1223.15,"1","1"
OJAI.C,08/14/2016,14.4,26.7,8.55,1231.70,"1","1"
OJAI.C,08/15/2016,14.4,27.2,8.80,1240.50,"1","1"
OJAI.C,08/16/2016,13.9,26.7,8.30,1248.80,"1","1"
OJAI.C,08/17/2016,12.8,25.6,7.20,1256.00,"1","1"
OJAI.C,08/18/2016,13.9,23.9,6.90,1262.90,"1","1"
OJAI.C,08/19/2016,14.4,25.0,7.70,1270.60,"1","1"
OJAI.C,08/20/2016,12.8,23.3,6.05,1276.65,"1","1"
OJAI.C,08/21/2016,12.8,26.1,7.45,1284.10,"1","1"
OJAI.C,08/22/2016,13.3,26.1,7.70,1291.80,"1","1"
OJAI.C,08/23/2016,12.8,25.0,6.90,1298.70,"1","1"
OJAI.C,08/24/2016,13.3,25.6,7.45,1306.15,"1","1"
OJAI.C,08/25/2016,13.3,23.3,6.30,1312.45,"1","1"
OJAI.C,08/26/2016,15.0,22.8,6.90,1319.35,"1","1"
OJAI.C,08/27/2016,14.4,23.3,6.85,1326.20,"1","1"
OJAI.C,08/28/2016,12.8,25.6,7.20,1333.40,"1","1"
OJAI.C,08/29/2016,13.3,27.8,8.55,1341.95,"1","1"
OJAI.C,08/30/2016,14.4,28.3,9.35,1351.30,"1","1"
OJAI.C,08/31/2016,14.4,27.2,8.80,1360.10,"1","1"
OJAI.C,09/01/2016,12.2,25.0,6.60,1366.70,"1","1"
OJAI.C,09/02/2016,12.2,24.4,6.30,1373.00,"1","1"
OJAI.C,09/03/2016,13.9,22.8,6.35,1379.35,"1","1"
OJAI.C,09/04/2016,12.8,22.2,5.50,1384.85,"1","1"
OJAI.C,09/05/2016,10.6,22.8,4.78,1389.63,"1","1"
OJAI.C,09/06/2016,11.1,23.3,5.23,1394.86,"1","1"
OJAI.C,09/07/2016,13.3,23.3,6.30,1401.16,"1","1"
OJAI.C,09/08/2016,14.4,23.3,6.85,1408.01,"1","1"
OJAI.C,09/09/2016,13.9,23.9,6.90,1414.91,"1","1"
OJAI.C,09/10/2016,13.9,25.0,7.45,1422.36,"1","1"
OJAI.C,09/11/2016,15.6,23.3,7.45,1429.81,"1","1"
OJAI.C,09/12/2016,15.0,22.2,6.60,1436.41,"1","1"
OJAI.C,09/13/2016,11.1,21.1,4.14,1440.55,"1","1"
OJAI.C,09/14/2016,9.4,22.2,4.06,1444.62,"1","1"
OJAI.C,09/15/2016,10.6,23.9,5.32,1449.94,"1","1"
OJAI.C,09/16/2016,11.1,23.9,5.53,1455.47,"1","1"
OJAI.C,09/17/2016,11.1,25.0,6.08,1461.55,"1","1"
OJAI.C,09/18/2016,11.7,30.6,9.15,1470.70,"A","A"
OJAI.C,09/19/2016,15.0,27.2,9.10,1479.80,"1","1"
OJAI.C,09/20/2016,17.2,30.6,11.90,1491.70,"1","1"
OJAI.C,09/21/2016,15.0,27.8,9.40,1501.10,"1","1"
OJAI.C,09/22/2016,12.2,25.6,6.90,1508.00,"1","1"
OJAI.C,09/23/2016,9.4,27.2,6.49,1514.49,"1","1"
OJAI.C,09/24/2016,12.2,30.6,9.40,1523.89,"A","A"
OJAI.C,09/25/2016,10.6,38.9,12.17,1536.06,"1","1"
OJAI.C,09/26/2016,14.4,39.4,14.08,1550.14,"1","1"
OJAI.C,09/27/2016,15.0,37.2,13.70,1563.85,"1","1"
OJAI.C,09/28/2016,16.7,30.0,11.35,1575.20,"1","1"
OJAI.C,09/29/2016,15.0,28.9,9.95,1585.15,"1","1"
OJAI.C,09/30/2016,12.8,27.8,8.30,1593.45,"1","1"
OJAI.C,10/01/2016,12.2,25.6,6.90,1600.35,"1","1"
OJAI.C,10/02/2016,10.6,22.8,4.78,1605.13,"1","1"
OJAI.C,10/03/2016,10.0,22.8,4.56,1609.68,"1","1"
OJAI.C,10/04/2016,10.0,21.7,4.02,1613.70,"1","1"
OJAI.C,10/05/2016,10.0,22.2,4.26,1617.97,"1","1"
OJAI.C,10/06/2016,7.2,31.1,7.63,1625.60,"1","1"
OJAI.C,10/07/2016,9.4,30.0,7.86,1633.46,"A","A"
OJAI.C,10/08/2016,8.3,31.1,8.00,1641.46,"1","1"
OJAI.C,10/09/2016,11.1,28.9,8.02,1649.49,"1","1"
OJAI.C,10/10/2016,11.7,24.4,6.05,1655.54,"1","1"
OJAI.C,10/11/2016,11.1,21.1,4.14,1659.68,"1","1"
OJAI.C,10/12/2016,11.1,21.1,4.14,1663.82,"1","1"
OJAI.C,10/13/2016,9.4,21.7,3.82,1667.65,"1","1"
OJAI.C,10/14/2016,12.2,21.1,4.65,1672.30,"1","1"
OJAI.C,10/15/2016,11.1,22.8,4.98,1677.28,"1","1"
OJAI.C,10/16/2016,16.7,22.2,7.45,1684.73,"1","1"
OJAI.C,10/17/2016,12.8,23.3,6.05,1690.78,"1","1"
OJAI.C,10/18/2016,10.6,24.4,5.57,1696.35,"1","1"
OJAI.C,10/19/2016,11.7,32.2,9.95,1706.30,"1","1"
OJAI.C,10/20/2016,12.8,35.6,12.05,1718.36,"1","1"
OJAI.C,10/21/2016,12.2,33.9,11.03,1729.39,"1","1"
OJAI.C,10/22/2016,8.9,24.4,4.96,1734.35,"1","1"
OJAI.C,10/23/2016,10.6,25.0,5.87,1740.22,"1","1"
OJAI.C,10/24/2016,12.2,22.2,5.20,1745.42,"1","1"
OJAI.C,10/25/2016,10.0,22.2,4.26,1749.68,"1","1"
OJAI.C,10/26/2016,9.4,23.9,4.88,1754.56,"1","1"
OJAI.C,10/27/2016,13.3,26.1,7.70,1762.26,"1","1"
OJAI.C,10/28/2016,13.3,23.3,6.30,1768.56,"1","1"
OJAI.C,10/29/2016,12.2,24.4,6.30,1774.86,"1","1"
OJAI.C,10/30/2016,14.4,18.9,4.65,1779.51,"1","1"
OJAI.C,10/31/2016,12.2,20.6,4.40,1783.91,"1","1"
OJAI.C,11/01/2016,11.7,20.6,4.16,1788.07,"1","1"
OJAI.C,11/02/2016,8.3,30.0,7.47,1795.53,"1","1"
OJAI.C,11/03/2016,13.9,33.9,11.88,1807.41,"1","1"
OJAI.C,11/04/2016,11.1,26.1,6.63,1814.04,"1","1"
OJAI.C,11/05/2016,9.4,26.7,6.25,1820.29,"1","1"
OJAI.C,11/06/2016,8.3,22.8,4.02,1824.31,"1","1"
OJAI.C,11/07/2016,10.0,23.9,5.09,1829.40,"1","1"
OJAI.C,11/08/2016,9.4,34.4,10.00,1839.40,"1","1"
OJAI.C,11/09/2016,13.9,36.1,12.78,1852.18,"1","1"
OJAI.C,11/10/2016,15.0,34.4,12.65,1864.83,"1","1"
OJAI.C,11/11/2016,13.3,31.1,10.20,1875.03,"1","1"
OJAI.C,11/12/2016,9.4,27.8,6.78,1881.81,"1","1"
OJAI.C,11/13/2016,11.7,32.8,10.25,1892.07,"1","1"
OJAI.C,11/14/2016,9.4,27.2,6.49,1898.56,"1","1"
OJAI.C,11/15/2016,6.1,22.8,3.49,1902.05,"1","1"
OJAI.C,11/16/2016,7.2,20.6,2.76,1904.81,"1","1"
OJAI.C,11/17/2016,7.2,23.3,3.97,1908.77,"1","1"
OJAI.C,11/18/2016,8.9,27.8,6.60,1915.38,"1","1"
OJAI.C,11/19/2016,4.4,21.1,2.48,1917.86,"1","1"
OJAI.C,11/20/2016,7.8,17.8,1.68,1919.54,"1","1"
OJAI.C,11/21/2016,10.0,20.0,3.20,1922.74,"1","1"
OJAI.C,11/22/2016,7.2,20.6,2.76,1925.50,"1","1"
OJAI.C,11/23/2016,3.9,21.1,2.41,1927.91,"A","A"
OJAI.C,11/24/2016,8.3,27.2,6.11,1934.02,"1","1"
OJAI.C,11/25/2016,5.6,26.1,4.85,1938.87,"1","1"
OJAI.C,11/26/2016,1.7,17.2,0.87,1939.74,"1","1"
OJAI.C,11/27/2016,5.0,18.3,1.49,1941.23,"1","1"
OJAI.C,11/28/2016,5.6,16.7,1.00,1942.23,"1","1"
OJAI.C,11/29/2016,5.0,21.7,2.82,1945.04,"1","1"
OJAI.C,11/30/2016,5.0,20.0,2.13,1947.18,"1","1"
OJAI.C,12/01/2016,5.6,21.1,2.67,1949.85,"1","1"
OJAI.C,12/02/2016,3.9,19.4,1.77,1951.61,"1","1"
OJAI.C,12/03/2016,6.1,24.4,4.20,1955.82,"1","1"
OJAI.C,12/04/2016,4.4,22.2,2.92,1958.74,"1","1"
OJAI.C,12/05/2016,2.8,17.8,1.12,1959.86,"1","1"
OJAI.C,12/06/2016,7.2,18.3,1.79,1961.65,"1","1"
OJAI.C,12/07/2016,6.7,20.0,2.41,1964.05,"1","1"
OJAI.C,12/08/2016,6.7,18.3,1.71,1965.76,"1","1"
OJAI.C,12/09/2016,12.2,18.3,3.25,1969.01,"1","1"
OJAI.C,12/10/2016,12.8,17.2,3.00,1972.01,"1","1"
OJAI.C,12/11/2016,12.2,19.4,3.80,1975.81,"1","1"
OJAI.C,12/12/2016,2.8,19.4,1.65,1977.46,"A","A"
OJAI.C,12/13/2016,9.4,17.8,2.00,1979.47,"1","1"
OJAI.C,12/14/2016,6.7,20.0,2.41,1981.87,"1","1"
OJAI.C,12/15/2016,8.9,17.2,1.63,1983.50,"1","1"
OJAI.C,12/16/2016,5.0,16.1,0.76,1984.26,"1","1"
OJAI.C,12/17/2016,1.7,18.3,1.20,1985.45,"1","1"
OJAI.C,12/18/2016,2.2,19.4,1.59,1987.05,"A","A"
OJAI.C,12/19/2016,11.7,19.4,3.56,1990.60,"1","1"
OJAI.C,12/20/2016,9.4,25.6,5.71,1996.31,"1","1"
OJAI.C,12/21/2016,11.1,19.4,3.30,1999.61,"1","1"
OJAI.C,12/22/2016,6.7,22.2,3.36,2002.97,"1","1"
OJAI.C,12/23/2016,7.8,16.7,1.24,2004.21,"1","1"
OJAI.C,12/24/2016,2.2,14.4,0.24,2004.44,"1","1"
OJAI.C,12/25/2016,1.1,13.9,0.14,2004.58,"1","1"
OJAI.C,12/26/2016,6.1,16.1,0.84,2005.42,"1","1"
OJAI.C,12/27/2016,8.9,23.9,4.72,2010.14,"1","1"
OJAI.C,12/28/2016,7.8,25.6,5.20,2015.34,"1","1"
OJAI.C,12/29/2016,15.6,26.7,9.15,2024.49,"1","1"
OJAI.C,12/30/2016,11.1,17.2,2.22,2026.71,"1","1"
OJAI.C,12/31/2016,4.4,12.8,0.04,2026.74,"1","1"
